order_date,order_year,order_month,item_category,order_count,item_count,promo_item_count,cust_count,avg_item_revenue,avg_distance,average_item_rate,promo_item_percentage
2022-12-25,2022,12,Chocolate,9,9,0,9,2.22,3399.22,1,0
2022-12-25,2022,12,Cookies,1,1,0,1,1.82,1540,1,0
2022-12-25,2022,12,null,15,17,0,14,null,4260.76,1.21,0
2022-12-25,2022,12,Other Confectionary,51,51,0,47,5.8,3865.9,1.09,0
2022-12-26,2022,12,Other Confectionary,48,48,0,43,4.62,3627.52,1.12,0
2022-12-26,2022,12,null,7,9,2,6,null,4975.44,1.5,0.22
2022-12-26,2022,12,Chocolate,7,7,0,7,3.53,3361.57,1,0
2022-12-26,2022,12,Cookies,2,2,0,2,2.09,4964.5,1,0
2022-12-27,2022,12,Cookies,5,5,0,5,1.92,4055.2,1,0
2022-12-27,2022,12,null,18,18,2,18,null,3597.61,1,0.11
2022-12-27,2022,12,Chocolate,5,5,0,5,3.42,2814.4,1,0
2022-12-27,2022,12,Other Confectionary,47,47,0,45,5.58,4148.53,1.04,0
2022-12-27,2022,12,Chocolate & Sweet Spreads,4,5,0,4,5.15,5492,1.25,0
2022-12-28,2022,12,Chocolate,7,7,0,7,2.18,2543,1,0
2022-12-28,2022,12,Other Confectionary,44,44,0,40,4.89,3370.2,1.1,0
2022-12-28,2022,12,null,16,18,1,14,null,3009.72,1.29,0.06
2022-12-28,2022,12,Chocolate & Sweet Spreads,1,1,0,1,4.93,8880,1,0
2022-12-28,2022,12,"Toffee, Fudge & Nougat",1,1,1,1,3.16,1227,1,1
2022-12-29,2022,12,Other Confectionary,44,44,0,39,5.57,3640.16,1.13,0
2022-12-29,2022,12,null,44,48,1,41,null,3838.63,1.17,0.02
2022-12-29,2022,12,Chocolate,4,4,0,4,2.56,3230,1,0
2022-12-29,2022,12,Cookies,5,5,0,5,3.6,2457.6,1,0
2022-12-29,2022,12,"Cheese Crackers, Breadsticks & Dipping",2,2,0,2,2.62,1107,1,0
2022-12-29,2022,12,Crisp & Snacks,15,15,0,15,1.92,3075.8,1,0
2022-12-30,2022,12,"Toffee, Fudge & Nougat",2,2,1,2,2.7,7250,1,0.5
2022-12-30,2022,12,Crisp & Snacks,65,67,0,60,3.45,3754.78,1.12,0
2022-12-30,2022,12,null,52,57,2,50,null,3571.11,1.14,0.04
2022-12-30,2022,12,Other Confectionary,55,55,0,49,5.07,3507.62,1.12,0
2022-12-30,2022,12,Chocolate,9,9,0,9,3,3591,1,0
2022-12-30,2022,12,Cookies,9,9,0,9,2.13,3621.89,1,0
2022-12-30,2022,12,"Cheese Crackers, Breadsticks & Dipping",9,9,0,9,2.62,4045.22,1,0
2022-12-30,2022,12,Chocolate & Sweet Spreads,1,1,0,1,1.37,1416,1,0
2022-12-31,2022,12,Other Confectionary,53,53,0,47,6.4,3954.89,1.13,0
2022-12-31,2022,12,Crisp & Snacks,54,57,0,53,2.84,3636.79,1.08,0
2022-12-31,2022,12,Chocolate,8,8,0,8,2.61,2252.75,1,0
2022-12-31,2022,12,null,52,57,0,50,null,4538.16,1.14,0
2022-12-31,2022,12,Cookies,5,6,0,5,1.97,2999.5,1.2,0
2022-12-31,2022,12,"Cheese Crackers, Breadsticks & Dipping",4,4,0,4,2.62,2295.5,1,0
2022-12-31,2022,12,Chocolate & Sweet Spreads,2,2,0,2,4.93,7535,1,0
2023-01-01,2023,1,Chocolate & Sweet Spreads,4,4,0,4,3.15,1673.25,1,0
2023-01-01,2023,1,Other Confectionary,60,60,0,54,4.76,3875.92,1.11,0
2023-01-01,2023,1,Cookies,12,12,0,10,2.13,3437.42,1.2,0
2023-01-01,2023,1,null,59,61,0,54,null,4402.34,1.13,0
2023-01-01,2023,1,Chocolate,8,9,0,7,3.12,3758.33,1.29,0
2023-01-01,2023,1,Crisp & Snacks,66,66,0,62,3.55,3605.97,1.06,0
2023-01-01,2023,1,"Cheese Crackers, Breadsticks & Dipping",5,5,0,5,2.62,3145.6,1,0
2023-01-02,2023,1,null,56,65,2,53,null,3428.22,1.23,0.03
2023-01-02,2023,1,Chocolate,6,6,0,6,2.57,3790.17,1,0
2023-01-02,2023,1,Crisp & Snacks,60,63,0,54,3.51,3292.44,1.17,0
2023-01-02,2023,1,Cookies,7,7,0,6,1.96,2896.29,1.17,0
2023-01-02,2023,1,"Toffee, Fudge & Nougat",1,1,0,1,2.24,4910,1,0
2023-01-02,2023,1,"Cheese Crackers, Breadsticks & Dipping",7,7,0,7,2.62,2946.14,1,0
2023-01-02,2023,1,Other Confectionary,42,42,0,42,5.68,3630.33,1,0
2023-01-03,2023,1,null,62,74,3,56,null,3349.51,1.32,0.04
2023-01-03,2023,1,Chocolate,17,17,0,17,2.54,2677.18,1,0
2023-01-03,2023,1,Chocolate & Sweet Spreads,4,4,0,4,5.27,5738,1,0
2023-01-03,2023,1,Crisp & Snacks,63,68,5,59,3.17,3824.54,1.15,0.07
2023-01-03,2023,1,Cookies,2,2,0,2,2,2769.5,1,0
2023-01-03,2023,1,Other Confectionary,42,42,0,40,4.96,4158.26,1.05,0
2023-01-03,2023,1,"Cheese Crackers, Breadsticks & Dipping",3,3,0,3,2.62,3669.67,1,0
2023-01-04,2023,1,"Toffee, Fudge & Nougat",1,1,0,1,2.24,7700,1,0
2023-01-04,2023,1,null,76,92,2,65,null,3489.78,1.42,0.02
2023-01-04,2023,1,Cookies,6,6,0,6,2.29,2246.5,1,0
2023-01-04,2023,1,Chocolate,12,12,0,11,2.54,4337.83,1.09,0
2023-01-04,2023,1,Crisp & Snacks,66,71,1,57,3.16,3972.2,1.25,0.01
2023-01-04,2023,1,Other Confectionary,50,50,0,45,5.04,3361.46,1.11,0
2023-01-04,2023,1,"Cheese Crackers, Breadsticks & Dipping",3,3,0,2,2.62,1181,1.5,0
2023-01-05,2023,1,Chocolate,12,12,0,11,2.09,1852.5,1.09,0
2023-01-05,2023,1,"Cheese Crackers, Breadsticks & Dipping",4,4,0,4,2.62,6702.75,1,0
2023-01-05,2023,1,Crisp & Snacks,66,68,1,62,3.22,3576.91,1.1,0.01
2023-01-05,2023,1,null,79,89,1,73,null,4050.87,1.22,0.01
2023-01-05,2023,1,Cookies,8,8,0,7,2.19,2365,1.14,0
2023-01-05,2023,1,Other Confectionary,52,52,0,49,5.56,4358.71,1.06,0
2023-01-05,2023,1,"Toffee, Fudge & Nougat",1,1,0,1,3.16,1687,1,0
2023-01-06,2023,1,Cookies,6,6,0,6,1.96,2700.5,1,0
2023-01-06,2023,1,Chocolate,20,22,0,20,2.54,3506.36,1.1,0
2023-01-06,2023,1,Other Confectionary,69,69,0,66,5.02,3208.38,1.05,0
2023-01-06,2023,1,"Cheese Crackers, Breadsticks & Dipping",3,3,0,3,2.62,4361.67,1,0
2023-01-06,2023,1,Crisp & Snacks,57,59,2,53,3.37,2964.02,1.11,0.03
2023-01-06,2023,1,null,54,60,1,53,null,3372.05,1.13,0.02
2023-01-06,2023,1,"Toffee, Fudge & Nougat",1,1,0,1,2.24,4240,1,0
2023-01-07,2023,1,Other Confectionary,83,83,0,76,5.3,3031.93,1.09,0
2023-01-07,2023,1,Crisp & Snacks,47,47,1,46,3.03,3623.45,1.02,0.02
2023-01-07,2023,1,null,68,76,2,64,null,3500.41,1.19,0.03
2023-01-07,2023,1,Chocolate,16,16,0,16,2.58,3059.63,1,0
2023-01-07,2023,1,Cookies,7,7,0,7,2.29,2428.29,1,0
2023-01-07,2023,1,Chocolate & Sweet Spreads,1,1,0,1,1.37,5500,1,0
2023-01-07,2023,1,"Cheese Crackers, Breadsticks & Dipping",3,3,0,3,3.49,5315.67,1,0
2023-01-08,2023,1,Other Confectionary,71,71,0,62,4.5,3804.2,1.15,0
2023-01-08,2023,1,Chocolate,9,9,0,9,2.88,3582.33,1,0
2023-01-08,2023,1,Crisp & Snacks,59,62,0,56,3.11,2883.1,1.11,0
2023-01-08,2023,1,null,62,73,0,58,null,3222.6,1.26,0
2023-01-08,2023,1,Cookies,6,6,0,6,1.9,2519.83,1,0
2023-01-08,2023,1,"Cheese Crackers, Breadsticks & Dipping",3,3,0,3,2.62,2195.67,1,0
2023-01-08,2023,1,"Toffee, Fudge & Nougat",1,1,0,1,6.32,1749,1,0
2023-01-09,2023,1,Crisp & Snacks,71,74,2,66,3.2,3514.16,1.12,0.03
2023-01-09,2023,1,Other Confectionary,35,35,0,31,4.8,2896.09,1.13,0
2023-01-09,2023,1,Cookies,9,9,0,7,2.42,4317.44,1.29,0
2023-01-09,2023,1,null,57,63,3,54,null,3555.46,1.17,0.05
2023-01-09,2023,1,Chocolate,8,8,0,8,2.51,2809.13,1,0
2023-01-10,2023,1,Crisp & Snacks,105,110,11,91,3.08,2967.45,1.21,0.1
2023-01-10,2023,1,null,78,94,4,75,null,3482.33,1.25,0.04
2023-01-10,2023,1,"Cheese Crackers, Breadsticks & Dipping",5,5,0,5,2.62,4527.4,1,0
2023-01-10,2023,1,Cookies,3,3,0,3,1.98,4289.67,1,0
2023-01-10,2023,1,Other Confectionary,36,36,0,34,5.32,3602.14,1.06,0
2023-01-10,2023,1,Chocolate,5,5,0,5,2.66,3011.6,1,0
2023-01-10,2023,1,Chocolate & Sweet Spreads,1,1,0,1,4.93,1213,1,0
2023-01-11,2023,1,Cookies,5,5,0,5,2.39,3800.2,1,0
2023-01-11,2023,1,Other Confectionary,43,43,0,39,4.61,4298.67,1.1,0
2023-01-11,2023,1,"Cheese Crackers, Breadsticks & Dipping",5,5,0,5,2.62,1809,1,0
2023-01-11,2023,1,Crisp & Snacks,88,93,4,82,3.12,3536.06,1.13,0.04
2023-01-11,2023,1,null,68,80,1,64,null,3305.33,1.25,0.01
2023-01-11,2023,1,Chocolate,12,12,0,9,2.41,3072.33,1.33,0
2023-01-11,2023,1,Chocolate & Sweet Spreads,1,1,0,1,4.93,8430,1,0
2023-01-11,2023,1,"Toffee, Fudge & Nougat",1,1,0,1,4.48,1516,1,0
2023-01-12,2023,1,Cookies,5,5,0,5,1.97,4204.2,1,0
2023-01-12,2023,1,"Cheese Crackers, Breadsticks & Dipping",3,3,0,3,2.62,2148,1,0
2023-01-12,2023,1,Chocolate,10,11,0,10,2.9,4127.18,1.1,0
2023-01-12,2023,1,Other Confectionary,33,33,0,32,4.99,3234.88,1.03,0
2023-01-12,2023,1,Crisp & Snacks,76,83,5,67,2.86,3313.4,1.24,0.06
2023-01-12,2023,1,null,62,78,4,58,null,3281.27,1.34,0.05
2023-01-13,2023,1,null,51,59,1,47,null,3672.49,1.26,0.02
2023-01-13,2023,1,Crisp & Snacks,27,28,1,25,2.8,3597.07,1.12,0.04
2023-01-13,2023,1,"Cheese Crackers, Breadsticks & Dipping",1,1,0,1,2.62,4970,1,0
2023-01-13,2023,1,Chocolate,6,6,0,6,2.25,4331,1,0
2023-01-13,2023,1,Other Confectionary,70,70,0,65,5.23,4316.89,1.08,0
2023-01-13,2023,1,Chocolate & Sweet Spreads,3,3,0,3,3.74,7556.67,1,0
2023-01-13,2023,1,Cookies,5,5,0,4,2.04,2839.4,1.25,0
2023-01-14,2023,1,null,52,58,3,48,null,3349.9,1.21,0.05
2023-01-14,2023,1,Crisp & Snacks,49,52,1,41,3.14,3966.44,1.27,0.02
2023-01-14,2023,1,Other Confectionary,71,71,0,64,6.39,3040.9,1.11,0
2023-01-14,2023,1,Chocolate,12,12,0,12,2.77,4620.42,1,0
2023-01-14,2023,1,Chocolate & Sweet Spreads,2,3,0,2,3.74,1268,1.5,0
2023-01-14,2023,1,Cookies,4,5,0,4,2.4,2245,1.25,0
2023-01-15,2023,1,Chocolate & Sweet Spreads,2,2,0,1,4.93,1028,2,0
2023-01-15,2023,1,null,46,53,0,41,null,3002.75,1.29,0
2023-01-15,2023,1,Cookies,3,3,0,3,4.1,4688.67,1,0
2023-01-15,2023,1,Crisp & Snacks,37,40,0,35,3.04,3252.33,1.14,0
2023-01-15,2023,1,Other Confectionary,46,46,0,42,4.6,3209.89,1.1,0
2023-01-15,2023,1,Chocolate,10,10,0,8,2.74,2234,1.25,0
2023-01-15,2023,1,"Cheese Crackers, Breadsticks & Dipping",2,2,0,2,2.62,1420,1,0
2023-01-15,2023,1,"Toffee, Fudge & Nougat",2,2,0,1,3.16,3020,2,0
2023-01-16,2023,1,Cookies,5,5,0,5,3.19,4426.8,1,0
2023-01-16,2023,1,Other Confectionary,47,47,0,40,6.58,4885.57,1.18,0
2023-01-16,2023,1,Chocolate,5,5,1,5,2.25,3325.2,1,0.2
2023-01-16,2023,1,null,58,65,2,52,null,4177.74,1.25,0.03
2023-01-16,2023,1,Crisp & Snacks,50,55,0,49,2.72,2981.25,1.12,0
2023-01-16,2023,1,Chocolate & Sweet Spreads,2,2,0,2,3.15,5526,1,0
2023-01-17,2023,1,Crisp & Snacks,79,83,0,77,3.17,3374.43,1.08,0
2023-01-17,2023,1,Chocolate,10,10,3,9,3.56,3180.5,1.11,0.3
2023-01-17,2023,1,null,77,88,5,73,null,4034.84,1.21,0.06
2023-01-17,2023,1,Chocolate & Sweet Spreads,2,2,0,2,3.15,1246,1,0
2023-01-17,2023,1,Cookies,3,3,0,3,2.02,1488.33,1,0
2023-01-17,2023,1,Other Confectionary,43,43,0,40,5.08,3765.23,1.08,0
2023-01-17,2023,1,"Cheese Crackers, Breadsticks & Dipping",6,6,0,6,2.62,2017,1,0
2023-01-18,2023,1,Crisp & Snacks,115,122,0,104,2.84,3635.37,1.17,0
2023-01-18,2023,1,null,81,94,0,73,null,4077.91,1.29,0
2023-01-18,2023,1,Chocolate,6,6,4,6,2.84,2134.67,1,0.67
2023-01-18,2023,1,Cookies,5,5,0,4,2.42,6336.2,1.25,0
2023-01-18,2023,1,"Cheese Crackers, Breadsticks & Dipping",5,5,0,5,2.62,4431.6,1,0
2023-01-18,2023,1,Other Confectionary,40,40,0,39,4.37,3712.63,1.03,0
2023-01-19,2023,1,Other Confectionary,57,57,0,48,5.36,3423.54,1.19,0
2023-01-19,2023,1,null,53,62,2,48,null,3265,1.29,0.03
2023-01-19,2023,1,Chocolate,11,11,4,8,4.13,2839.91,1.38,0.36
2023-01-19,2023,1,Crisp & Snacks,67,71,0,58,3.21,3068.62,1.22,0
2023-01-19,2023,1,Chocolate & Sweet Spreads,1,1,0,1,4.93,1172,1,0
2023-01-19,2023,1,Cookies,5,5,0,5,2.01,4648.6,1,0
2023-01-19,2023,1,"Cheese Crackers, Breadsticks & Dipping",6,6,0,4,2.62,1903.17,1.5,0
2023-01-19,2023,1,"Toffee, Fudge & Nougat",2,2,0,2,3.16,3194.5,1,0
2023-01-20,2023,1,Chocolate,10,10,3,10,3.33,1696.9,1,0.3
2023-01-20,2023,1,null,63,75,5,59,null,4108.61,1.27,0.07
2023-01-20,2023,1,Crisp & Snacks,41,42,0,38,2.75,3396,1.11,0
2023-01-20,2023,1,"Toffee, Fudge & Nougat",2,2,0,2,4.48,6100,1,0
2023-01-20,2023,1,Other Confectionary,59,59,0,55,4.44,3785.58,1.07,0
2023-01-20,2023,1,"Cheese Crackers, Breadsticks & Dipping",2,2,0,2,2.62,1266,1,0
